instruction,output
What is Intrumentation?,"Instrumentation refers to the measure of a product’s performance, in order to diagnose errors and to write trace information. Instrumentation can be of two types: source instrumentation and binary instrumentation. Backend monitoring allows the user to view the performance of infrastructure i.e. the components that run a web application. These include the HTTP server, middleware, database, third-party API services, and more. Telemetry is the process of continuously collecting data from different components of the application. This data helps engineering teams to troubleshoot issues across services and identify the root causes. In other words, telemetry data powers observability for your distributed applications. Context: https://en.wikipedia.org/wiki/Instrumentation_(computer_programming), https://www.yottaa.com/performance-monitoring-backend-vs-front-end-solutions/, https://www.sumologic.com/glossary/telemetry/, https://app.daily.dev/tags/monitoring?ref=roadmapsh"
What is Distributed Systems?," Distributed systems are hard to build, deploy and maintain. They consist of multiple components which communicate with each other. In parallel to that, users use the system, resulting in multiple requests. Making sense of this noise is important to understand: 1.how the system behaves 2.is it broken3.is it fast enough 4.what can be improved A product can integrate with existing monitoring products (APM - application performance management). They can show a detailed view of each request - its user, time, components involved, state(error or OK) etc. We can build dashboards with custom events or metrics according to our needs. Automatic alert rules can be configured on top of these events/metrics. A few popular tools are Grafana, Sentry, Mixpanel, NewRelic etc Context: https://www.dynatrace.com/news/blog/observability-vs-monitoring/, https://www.sumologic.com/blog/the-role-of-apm-and-distributed-tracing-in-observability/, https://thectoclub.com/tools/best-application-monitoring-software/, https://medium.com/@genchilu/cache-strategy-in-backend-d0baaacd2d79"
What is Basic Infrastructure knowledge_DevOps?,Roadmap Linked Context: https://roadmap.sh/devops?r=devops-beginner
What is Basic Infrastructure knowledge_fullstack?,Roadmap Linked Context: https://roadmap.sh/full-stack
What is Intro to Mathematics?,"Mathematics is the foundation of AI and Data Science. It is essential to have a good understanding of mathematics to excel in these fields. Context: https://www.coursera.org/learn/algebra-and-differential-calculus-for-data-science?irclickid=ylV21N3HFxyKTgqUdCxjyTb9UkC3j32vUXoTUU0&irgwc=1&utm_medium=partners&utm_source=impact&utm_campaign=4863057&utm_content=b2c#syllabus, https://www.coursera.org/specializations/mathematics-machine-learning?irclickid=ylV21N3HFxyKTgqUdCxjyTb9UkC3j32vUXoTUU0&irgwc=1&utm_medium=partners&utm_source=impact&utm_campaign=4863057&utm_content=b2c#courses"
"What is Learn Algebra, Calculus, Mathematical Analysis?","Attached sources and files Context: https://www.coursera.org/specializations/mathematics-machine-learning#courses, https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab, https://app.daily.dev/tags/math?ref=roadmapsh"
What is Differential Equation?,"A differential equation is an equation that relates one or more unknown functions and their derivatives. In other words, it's an equation that contains one or more terms and the derivatives of one variable with respect to another variable. Context: https://www.google.com/search?q=differential%20calculus%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=differential+calculus+for+ai+and+data+scientist, https://www.coursera.org/learn/algebra-and-differential-calculus-for-data-science#syllabus"
What is Introduction to Statistics?,"Statistics is the science of collecting, analyzing, interpreting, presenting, and organizing data. It is a branch of mathematics that deals with the collection, analysis, interpretation, presentation, and organization of data. It is used in a wide range of fields, including science, engineering, medicine, and social science. Statistics is used to make informed decisions, to predict future events, and to test hypotheses. It is also used to summarize data, to describe relationships between variables, and to make inferences about populations based on samples. Context: https://www.google.com/search?q=statistics%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=statistics+for+ai+and+data+scientist"
"What is Statistics, CLT?","The central limit theorem (CLT) states that the distribution of sample means approximates a normal distribution as the sample size gets larger, regardless of the population's distribution. Sample sizes equal to or greater than 30 are often considered sufficient for the CLT to hold. Context: https://www.google.com/search?q=statistics,%20clt%20guide%20for%20ai%20and%20data%20scientist, https://www.google.com/search?q=statistics,%20clt%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=statistics%2C+clt+for+ai+and+data+scientist"
What is Hypothesis Testing?,"Hypothesis testing, sometimes called significance testing, is an act in statistics whereby an analyst tests an assumption regarding a population parameter. Context: https://www.coursera.org/learn/statistical-analysis-hypothesis-testing-sas#syllabus, https://app.daily.dev/tags/testing?ref=roadmapsh, https://www.google.com/search?q=hypothesis%20testing%20guide%20for%20ai%20and%20data%20scientist"
What is Probability and Sampling?,"Hypothesis testing, sometimes called significance testing, is an act in statistics whereby an analyst tests an assumption regarding a population parameter. Context: https://www.coursera.org/learn/probability-statistics#syllabus, https://app.daily.dev/tags/statistics?ref=roadmapsh, https://www.google.com/search?q=probability%20and%20sampling%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=probability+and+sampling+for+ai+and+data+scientist"
What is AB testing?,"Refer to the context Context: https://vkteam.medium.com/practitioners-guide-to-statistical-tests-ed2d580ef04f#1e3b, https://towardsdatascience.com/step-by-step-for-planning-an-a-b-test-ef3c93143c0b, https://app.daily.dev/tags/ab-testing?ref=roadmapsh"
What is Increasing Test Sensitivity?,"Refer to context Context: https://www.researchgate.net/publication/305997925_Improving_the_Sensitivity_of_Online_Controlled_Experiments_Case_Studies_at_Netflix, https://splitmetrics.com/resources/minimum-detectable-effect-mde/, https://kdd.org/kdd2016/papers/files/adp0945-xieA.pdf, https://exp-platform.com/Documents/2013-02-CUPED-ImprovingSensitivityOfControlledExperiments.pdf, https://booking.ai/how-booking-com-increases-the-power-of-online-experiments-with-cuped-995d186fff1d, https://careers.doordash.com/blog/improving-experimental-power-through-control-using-predictions-as-covariate-cupac/"
What is Ratio Metrics?,"Refer to Context Context: https://arxiv.org/pdf/1803.06336, https://www.stat.cmu.edu/~hseltman/files/ratio.pdf, https://www.google.com/search?q=ratio%20metrics%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=ratio+metrics+for+ai+and+data+scientist"
What is Intro to Econometrics?,"Ecenometrics is the application of statistical methods to economic data. It is a branch of economics that aims to give empirical content to economic relations. More precisely, it is “the quantitative analysis of actual economic phenomena based on the concurrent development of theory and observation, related by appropriate methods of inference.” Econometrics can be described as something that allows economists “to sift through mountains of data to extract simple relationships.” Context: https://www.google.com/search?q=econometrics%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=econometrics+for+ai+and+data+scientist"
What is Econometrics Pre-requisites?,"refer to the context Context: https://bookdown.org/ts_robinson1994/10EconometricTheorems/, https://www.google.com/search?q=econometrics%20pre-requisites%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=econometrics+pre-requisites+for+ai+and+data+scientist"
"What is Regressions, Time series, Fitting Distributions?","Refer to the context Context: https://github.com/stalkermustang/bcdc_ds_takehome, https://bookdown.org/ts_robinson1994/10EconometricTheorems/, https://bookdown.org/ts_robinson1994/10EconometricTheorems/, https://www.academia.edu/33062577/Dougherty_Intro_to_Econometrics_4th_ed_small, https://www.coursera.org/learn/erasmus-econometrics#syllabus, https://www.kaggle.com/learn/time-series, https://www.kaggle.com/code/jagangupta/time-series-basics-exploring-traditional-ts#Hierarchical-time-series, https://machinelearningmastery.com/arima-for-time-series-forecasting-with-python/, https://machinelearningmastery.com/time-series-forecasting-methods-in-python-cheat-sheet/, https://www.coursera.org/learn/linear-regression-business-statistics#about"
What is Introduction to Coding?,"Programming is a fundamental skill for data scientists. You need to be able to write code to manipulate data, build models, and deploy solutions. The most common programming languages used in data science are Python and R. Python is a general-purpose programming language that is easy to learn and has a large number of libraries for data manipulation and machine learning. R is a programming language and free software environment for statistical computing and graphics. It is widely used for statistical analysis and data visualization. Context: https://www.google.com/search?q=coding%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=coding+for+ai+and+data+scientist"
What is Python?,"Learn Python Programming Language Context: https://www.kaggle.com/learn/python, https://developers.google.com/edu/python, https://app.daily.dev/tags/python?ref=roadmapsh"
What is Data Structures and Algorithms?,"check the context Context: https://leetcode.com/explore/learn/, https://leetcode.com/studyplan/, https://www.coursera.org/specializations/algorithms#courses"
What is Learn SQL?,"Refer to the context Context: https://www.sqltutorial.org/, https://app.daily.dev/tags/sql?ref=roadmapsh"
What is Introduction to the topic?,"Exploratory Data Analysis (EDA) is an approach to analyzing data sets to summarize their main characteristics, often with visual methods. EDA is used to understand what the data can tell us beyond the formal modeling or hypothesis testing task. It is a crucial step in the data analysis process. Context: https://www.google.com/search?q=exploratory%20data%20analysis%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=exploratory+data+analysis+for+ai+and+data+scientist"
What is Introduction to the topic?,"Machine learning is a field of artificial intelligence that uses statistical techniques to give computer systems the ability to “learn” (e.g., progressively improve performance on a specific task) from data, without being explicitly programmed. The name machine learning was coined in 1959 by Arthur Samuel. Evolved from the study of pattern recognition and computational learning theory in artificial intelligence, machine learning explores the study and construction of algorithms that can learn from and make predictions on data – such algorithms overcome following strictly static program instructions by making data-driven predictions or decisions, through building a model from sample inputs. Machine learning is employed in a range of computing tasks where designing and programming explicit algorithms with good performance is difficult or infeasible; example applications include email filtering, detection of network intruders, and computer vision. Context: https://www.google.com/search?q=machine%20learning%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=machine+learning+for+ai+and+data+scientist"
What is Introduction to the topic?,"Deep learning is a subset of machine learning that deals with algorithms inspired by the structure and function of the brain called artificial neural networks. Deep learning is a key technology behind driverless cars, enabling them to recognize a stop sign, or to distinguish a pedestrian from a lamppost. It is the key to voice control in consumer devices like phones, tablets, TVs, and hands-free speakers. Deep learning is getting lots of attention lately and for good reason. It’s achieving results that were not possible before. Context: https://www.google.com/search?q=%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=+for+ai+and+data+scientist"
What is Introduction to the topic?,"MLOps is a practice for collaboration and communication between data scientists and operations professionals to help manage production ML lifecycle. It is a set of best practices that aims to automate the ML lifecycle, including training, deployment, and monitoring. MLOps helps organizations to scale ML models and deliver business value faster. Context: https://www.google.com/search?q=mlops%20guide%20for%20ai%20and%20data%20scientist, https://www.youtube.com/results?search_query=mlops+for+ai+and+data+scientist"
"What is Python, Backend, DevOps?","Roadmap Linked Respectively Context: https://roadmap.sh/python, https://roadmap.sh/backend, https://roadmap.sh/devops"
Intro to internet,The Internet is a global network of computers connected to each other which communicate through a standardized set of protocols. Learn more here: https://cs.fyi/guide/how-does-internet-work
What is the internet?,The Internet is a global network of computers connected to each other which communicate through a standardized set of protocols. Learn more here: https://cs.fyi/guide/how-does-internet-work
Explain the internet,The Internet is a global network of computers connected to each other which communicate through a standardized set of protocols. Learn more here: https://cs.fyi/guide/how-does-internet-work
Intro to HTTP,HTTP is the TCP/IP based application layer communication protocol which standardizes how the client and server communicate with each other. It defines how the content is requested and transmitted across the internet. Learn more: https://cs.fyi/guide/http-in-depth
What is HTTP?,HTTP is the TCP/IP based application layer communication protocol which standardizes how the client and server communicate with each other. It defines how the content is requested and transmitted across the internet. Learn more: https://cs.fyi/guide/http-in-depth
Explain HTTP,HTTP is the TCP/IP based application layer communication protocol which standardizes how the client and server communicate with each other. It defines how the content is requested and transmitted across the internet. Learn more: https://cs.fyi/guide/http-in-depth
Intro to Domain Name,"A domain name is a unique, easy-to-remember address used to access websites, such as ‘google.com’, and ‘facebook.com’. Users can connect to websites using domain names thanks to the DNS system. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_domain_name"
What is a domain name?,"A domain name is a unique, easy-to-remember address used to access websites, such as ‘google.com’, and ‘facebook.com’. Users can connect to websites using domain names thanks to the DNS system. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_domain_name"
Explain domain name,"A domain name is a unique, easy-to-remember address used to access websites, such as ‘google.com’, and ‘facebook.com’. Users can connect to websites using domain names thanks to the DNS system. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_domain_name"
Intro to Hosting,"Web hosting is an online service that allows you to publish your website files onto the internet. So, anyone who has access to the internet has access to your website. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/Pages_sites_servers_and_search_engines"
What is web hosting?,"Web hosting is an online service that allows you to publish your website files onto the internet. So, anyone who has access to the internet has access to your website. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/Pages_sites_servers_and_search_engines"
Explain web hosting,"Web hosting is an online service that allows you to publish your website files onto the internet. So, anyone who has access to the internet has access to your website. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/Pages_sites_servers_and_search_engines"
Intro to DNS and How it works?,"The Domain Name System (DNS) is the phonebook of the Internet. Humans access information online through domain names, like nytimes.com or espn.com. Web browsers interact through Internet Protocol (IP) addresses. DNS translates domain names to IP addresses so browsers can load Internet resources. Learn more: https://www.cloudflare.com/en-gb/learning/dns/what-is-dns/"
What is DNS?,"The Domain Name System (DNS) is the phonebook of the Internet. Humans access information online through domain names, like nytimes.com or espn.com. Web browsers interact through Internet Protocol (IP) addresses. DNS translates domain names to IP addresses so browsers can load Internet resources. Learn more: https://www.cloudflare.com/en-gb/learning/dns/what-is-dns/"
Explain DNS,"The Domain Name System (DNS) is the phonebook of the Internet. Humans access information online through domain names, like nytimes.com or espn.com. Web browsers interact through Internet Protocol (IP) addresses. DNS translates domain names to IP addresses so browsers can load Internet resources. Learn more: https://www.cloudflare.com/en-gb/learning/dns/what-is-dns/"
Intro to Browsers and how they work,A web browser is a software application that enables a user to access and display web pages or other online content through its graphical user interface. Learn more: https://web.dev/articles/howbrowserswork
What is a browser?,A web browser is a software application that enables a user to access and display web pages or other online content through its graphical user interface. Learn more: https://web.dev/articles/howbrowserswork
Explain browser,A web browser is a software application that enables a user to access and display web pages or other online content through its graphical user interface. Learn more: https://web.dev/articles/howbrowserswork
Intro to Browsers and how they work,A web browser is a software application that enables a user to access and display web pages or other online content. More info: https://www.browserstack.com/guide/browser-rendering-engine
What is a browser?,A web browser is a software application that enables a user to access and display web pages or other online content. More info: https://www.browserstack.com/guide/browser-rendering-engine
Explain browser,A web browser is a software application that enables a user to access and display web pages or other online content. More info: https://www.browserstack.com/guide/browser-rendering-engine
Intro to HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
What is HTML?,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
Explain HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
Intro to HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://www.youtube.com/watch?v=mJgBOIoGihA
What is HTML?,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://www.youtube.com/watch?v=mJgBOIoGihA
Explain HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://www.youtube.com/watch?v=mJgBOIoGihA
Learn the Basics,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
HTML Basics,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
Basic HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage which you can style using CSS and make interactive using JavaScript. Learn more: https://www.w3schools.com/html/html_intro.asp
Learn the Basics,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://web.dev/learn/html
HTML Basics,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://web.dev/learn/html
Basic HTML,HTML stands for HyperText Markup Language. It is used on the frontend and gives the structure to the webpage. More info: https://web.dev/learn/html
Semantic HTML,"Semantic element clearly describes its meaning to both the browser and the developer. In HTML, semantic element are the type of elements that can be used to define different parts of a web page such as <form>, <table>, <article>, <header>, <footer>, etc. Learn more: https://cs.fyi/guide/writing-semantic-html"
What is Semantic HTML?,"Semantic element clearly describes its meaning to both the browser and the developer. In HTML, semantic element are the type of elements that can be used to define different parts of a web page such as <form>, <table>, <article>, <header>, <footer>, etc. Learn more: https://cs.fyi/guide/writing-semantic-html"
Explain Semantic HTML,"Semantic element clearly describes its meaning to both the browser and the developer. In HTML, semantic element are the type of elements that can be used to define different parts of a web page such as <form>, <table>, <article>, <header>, <footer>, etc. Learn more: https://cs.fyi/guide/writing-semantic-html"
Semantic HTML,Semantic element clearly describes its meaning to both the browser and the developer. More info: https://www.w3schools.com/html/html5_semantic_elements.asp
What is Semantic HTML?,Semantic element clearly describes its meaning to both the browser and the developer. More info: https://www.w3schools.com/html/html5_semantic_elements.asp
Explain Semantic HTML,Semantic element clearly describes its meaning to both the browser and the developer. More info: https://www.w3schools.com/html/html5_semantic_elements.asp
Forms and Validations,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. This is called client-side form validation, and helps ensure data submitted matches the requirements set forth in the various form controls. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Forms/Form_validation"
HTML Forms,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. This is called client-side form validation, and helps ensure data submitted matches the requirements set forth in the various form controls. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Forms/Form_validation"
Form Validation,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. This is called client-side form validation, and helps ensure data submitted matches the requirements set forth in the various form controls. Learn more: https://developer.mozilla.org/en-US/docs/Learn/Forms/Form_validation"
Forms and Validations,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. More info: https://web.dev/learn/forms/"
HTML Forms,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. More info: https://web.dev/learn/forms/"
Form Validation,"Before submitting data to the server, it is important to ensure all required form controls are filled out, in the correct format. More info: https://web.dev/learn/forms/"
Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. Learn more: https://www.w3.org/WAI/tips/developing/"
Web Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. Learn more: https://www.w3.org/WAI/tips/developing/"
Explain Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. Learn more: https://www.w3.org/WAI/tips/developing/"
Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. More info: https://www.w3schools.com/accessibility/index.php"
Web Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. More info: https://www.w3schools.com/accessibility/index.php"
Explain Accessibility,"Web accessibility means that websites, tools, and technologies are designed and developed in such a way that people with disabilities can use them easily. More info: https://www.w3schools.com/accessibility/index.php"
Basics of SEO,"SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines such as Google, Bing etc. Learn more: https://developers.google.com/search/docs"
What is SEO?,"SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines such as Google, Bing etc. Learn more: https://developers.google.com/search/docs"
Explain SEO,"SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines such as Google, Bing etc. Learn more: https://developers.google.com/search/docs"
Basics of SEO,SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines. More info: https://www.youtube.com/watch?v=xsVTqzratPs
What is SEO?,SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines. More info: https://www.youtube.com/watch?v=xsVTqzratPs
Explain SEO,SEO or Search Engine Optimization is the technique used to optimize your website for better rankings on search engines. More info: https://www.youtube.com/watch?v=xsVTqzratPs
Intro to CSS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
What is CSS?,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
Explain CSS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
Intro to CSS,CSS or Cascading Style Sheets is the language used to style the frontend of any website. More info: https://web.dev/learn/css/
What is CSS?,CSS or Cascading Style Sheets is the language used to style the frontend of any website. More info: https://web.dev/learn/css/
Explain CSS,CSS or Cascading Style Sheets is the language used to style the frontend of any website. More info: https://web.dev/learn/css/
CSS BASICS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
What is CSS?,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
Explain CSS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. Learn more: https://www.w3schools.com/css/"
CSS BASICS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. More info: https://web.dev/learn/css/"
What is CSS?,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. More info: https://web.dev/learn/css/"
Explain CSS,"CSS or Cascading Style Sheets is the language used to style the frontend of any website. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. More info: https://web.dev/learn/css/"
Intro to Javascript,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. Learn more: https://roadmap.sh/javascript"
What is Javascript?,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. Learn more: https://roadmap.sh/javascript"
Explain Javascript,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. Learn more: https://roadmap.sh/javascript"
Intro to Javascript,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. More info: https://javascript.info/"
What is Javascript?,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. More info: https://javascript.info/"
Explain Javascript,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. More info: https://javascript.info/"
What is Vue.js g?,['Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications. It is mainly focused on front end development.']
What is Angular?,"['Angular is a component based front-end development framework built on TypeScript which includes a collection of well-integrated libraries that include features like routing, forms management, client-server communication, and more.']"
What is Svelte g?,['Svelte is a javascript framework that unlike Vue and React does not use vertical DOM diffing but instead knows exactly what and where to update when the state changes. It’s mainly focused on frontend and building user interfaces.']
What is Solid JS g?,"['Solid is a reactive JavaScript toolkit for building user interfaces without a virtual DOM. To ensure that only the relevant code is executed when a state update occurs, it compiles templates down to real DOM nodes once and wraps modifications into fine-grained reactions.']"
What is Introduction?,"['The way we write CSS in our modern front-end applications is completely different from how we used to write CSS before. There are methods such as Styled Components, CSS Modules, Styled JSX, Emotion, etc']"
What is Tailwind?,"['CSS Framework that provides atomic CSS classes to help you style components e.g. flex, pt-4, text-center and rotate-90 that can be composed to build any design, directly in your markup.']"
What is Introduction to the CSS Architecture?,"['CSS is notoriously difficult to manage in large, complex, rapidly-iterated systems. There are different ways of writing CSS that allows in writing more maintainable CSS.']"
What is BEM?,"['The Block, Element, Modifier methodology (commonly referred to as BEM) is a popular naming convention for classes in HTML and CSS. Developed by the team at Yandex, its goal is to help developers better understand the relationship between the HTML and CSS in a given project.']"
What is Introduction?,"['CSS Preprocessors are scripting languages that extend the default capabilities of CSS. They enable us to use logic in our CSS code, such as variables, nesting, inheritance, mixins, functions, and mathematical operations.']"
What is Sass?,"['Sass is a preprocessor scripting language that is interpreted or compiled into Cascading Style Sheets. It lets you write maintainable CSS and provides features like variable, nesting, mixins, extension, functions, loops, conditionals and so on.']"
What is Post CSS?,"['PostCSS is a tool for transforming styles with JS plugins. These plugins can lint your CSS, support variables and mixins, transpile future CSS syntax, inline images, and more.']"
What is Introduction to the Build Tools?,"['Task runners automatically execute commands and carry out processes behind the scenes. This helps automate your workflow by performing mundane, repetitive tasks that you would otherwise waste an egregious amount of time repeating yourself. Common usages of task runners include numerous development tasks such as: spinning up development servers, compiling code (ex. SCSS to CSS), running linters, serving files up from a local port on your computer, and many more!']"
What is Introduction to Linter Formatters?,"['A linter is a tool used to analyze code and discover bugs, syntax errors, stylistic inconsistencies, and suspicious constructs. Popular linters for JavaScript include ESLint, JSLint, and JSHint.']"
What is Prettier?,"['Prettier is an opinionated code formatter with support for JavaScript, HTML, CSS, YAML, Markdown, GraphQL Schemas. By far the biggest reason for adopting Prettier is to stop all the on-going debates over styles.']"
What is ESLint?,['With ESLint you can impose the coding standard using a certain set of standalone rules.']
What is Intro to Module Bundler?,"['A module bundler is a tool that takes pieces of JavaScript and their dependencies and bundles them into a single file, usually for use in the browser. You may have used tools such as Browserify, Webpack, Rollup or one of many others. It usually starts with an entry file, and from there it bundles up all of the code needed for that entry file.']"
What is Vite?,['Vite is a build tool that aims to provide a faster and leaner development experience for modern web projects.']
What is SWC?,"['SWC (Speedy Web Compiler) is a JavaScript and TypeScript compiler and bundler built in Rust. Unlike Babel, which is JavaScript-based, SWC leverages Rust for blazing-fast performance, making it an ideal choice for large-scale projects. It focuses on speed while offering modern features like tree shaking, JSX transformation, and module bundling, catering to frontend development and build optimization.']"
What is Introduction to the topic?,"['Our current build tools for the web are 10-100x slower than they could be. The main goal of the esbuild bundler project is to bring about a new era of build tool performance, and create an easy-to-use modern bundler along the way.']"
What is Webpack?,"['Webpack is a module bundler. Its main purpose is to bundle JavaScript files for usage in a browser, yet it is also capable of transforming, bundling, or packaging just about any resource or asset.']"
What is RollUp?,"['Rollup is a module bundler for JavaScript which compiles small pieces of code into something larger and more complex, such as a library or application.']"
What is Parcel?,"['Parcel is a web application bundler, differentiated by its developer experience. It offers blazing-fast performance utilizing multicore processing and requires zero configuration.']"
What is Testing your apps?,"['Before delivering your application to users, you need to be sure that your app meets the requirements it was designed for, and that it doesn’t do any weird, unintended things (called ‘bugs’). To accomplish this, we ‘test’ our applications in different ways.']"
What is Jest_g?,"['Jest is a delightful JavaScript Testing Framework with a focus on simplicity. It works with projects using: Babel, TypeScript, Node, React, Angular, Vue and more!']"
What is Vitest?,"['Vitest is a fast Vite-native unit test framework with out-of-box ESM, TypeScript and JSX support. Works on React, Vue, Svelte and more projects created with Vite']"
What is Introduction to the topic?,"['Authentication strategies are methods or techniques used to verify the identity of a user or system in order to grant access to a protected resource. There are several different authentication strategies that can be used, including: 1.Basic Authentication 2.Session Based Authentication 3.Token Based Authentication 4.JWT Authentication 5.OAuth 6.SSO You don’t necessarily need to learn all of these, how to implement and the ins and outs from the get go. But it’s important to know what they are and how they work. This will help you make better decisions when choosing an authentication strategy for your application.']"
What is Introduction to the topic?,['Web security refers to the protective measures taken by the developers to protect the web applications from threats that could affect the business.']
What is CORS?,"['Cross-Origin Resource Sharing (CORS) is an HTTP-header based mechanism that allows a server to indicate any origins (domain, scheme, or port) other than its own from which a browser should permit loading resources.']"
What is HTTPS?,"['HTTPS is a secure way to send data between a web server and a browser.Hypertext transfer protocol secure (HTTPS) is the secure version of HTTP, which is the primary protocol used to send data between a web browser and a website. HTTPS is encrypted in order to increase security of data transfer. This is particularly important when users transmit sensitive data, such as by logging into a bank account, email service, or health insurance provider']"
What are Content Security policies?,"['Content Security Policy is a computer security standard introduced to prevent cross-site scripting, clickjacking and other code injection attacks resulting from execution of malicious content in the trusted web page context.']"
